Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Categoria	Organismo	Localizacion	Anio	CodigoMuestra	Sufijo	BinID	Locality	Provincia	Habitat
BPART251002.MAGScoT_cleanbin_000009	56.51	4.26	Neural Network (Specific Model)	11	0.839	5671	252.93713681986264	1709124	0.35	1893	400	39493	None	Calidad media	B	ART	2025	1002		MAGScoT_cleanbin_000009	Artikutza	Guipuzcoa	Natural
BPART251003.MAGScoT_cleanbin_000001	100	0.41	Neural Network (Specific Model)	11	0.822	35551	292.82478260869567	2453035	0.44	2300	131	118486	None	Alta calidad	B	ART	2025	1003		MAGScoT_cleanbin_000001	Artikutza	Guipuzcoa	Natural
BPART251003.MAGScoT_cleanbin_000002	98.6	0.4	Gradient Boost (General Model)	11	0.877	30418	298.1206030150754	1620024	0.34	1592	95	80319	None	Alta calidad	B	ART	2025	1003		MAGScoT_cleanbin_000002	Artikutza	Guipuzcoa	Natural
BPART251003.MAGScoT_cleanbin_000003	94.2	1.35	Neural Network (Specific Model)	11	0.877	8651	317.64484679665736	1558937	0.47	1436	249	37872	None	Alta calidad	B	ART	2025	1003		MAGScoT_cleanbin_000003	Artikutza	Guipuzcoa	Natural
BPART251003.MAGScoT_cleanbin_000004	84.14	21.69	Neural Network (Specific Model)	11	0.862	4781	265.9202268431002	2445303	0.36	2645	676	60181	None	Rejects	B	ART	2025	1003		MAGScoT_cleanbin_000004	Artikutza	Guipuzcoa	Natural
BPART251004.MAGScoT_cleanbin_000001	100	0.11	Neural Network (Specific Model)	11	0.822	63394	295.8763996554694	2504024	0.44	2322	85	164044	None	Alta calidad	B	ART	2025	1004		MAGScoT_cleanbin_000001	Artikutza	Guipuzcoa	Natural
BPART251004.MAGScoT_cleanbin_000002	99.7	0.07	Neural Network (Specific Model)	11	0.879	905077	361.07515337423314	1605575	0.47	1304	8	905077	None	Alta calidad	B	ART	2025	1004		MAGScoT_cleanbin_000002	Artikutza	Guipuzcoa	Natural
BPART251004.MAGScoT_cleanbin_000003	87.17	24.09	Gradient Boost (General Model)	11	0.892	2278	227.82441860465116	1971590	0.35	2580	928	18350	None	Rejects	B	ART	2025	1004		MAGScoT_cleanbin_000003	Artikutza	Guipuzcoa	Natural
BPART251004.MAGScoT_cleanbin_000004	92.9	31.36	Neural Network (Specific Model)	11	0.834	5518	259.9202706678435	3171305	0.36	3399	844	46869	None	Rejects	B	ART	2025	1004		MAGScoT_cleanbin_000004	Artikutza	Guipuzcoa	Natural
BPART251004.MAGScoT_cleanbin_000005	68.43	3.76	Gradient Boost (General Model)	11	0.917	2302	230.57271448663855	2675703	0.7	3555	1248	41519	None	Calidad media	B	ART	2025	1004		MAGScoT_cleanbin_000005	Artikutza	Guipuzcoa	Natural
BPART251005.MAGScoT_cleanbin_000001	100	0.1	Neural Network (Specific Model)	11	0.82	95761	292.43043844856663	2534609	0.44	2372	60	218122	None	Alta calidad	B	ART	2025	1005		MAGScoT_cleanbin_000001	Artikutza	Guipuzcoa	Natural
BPART251005.MAGScoT_cleanbin_000002	94.54	1.6	Neural Network (Specific Model)	11	0.853	16459	315.472915398661	1819565	0.47	1643	201	93519	None	Alta calidad	B	ART	2025	1005		MAGScoT_cleanbin_000002	Artikutza	Guipuzcoa	Natural
BPART251005.MAGScoT_cleanbin_000003	84.28	6.57	Gradient Boost (General Model)	11	0.59	1902	127.89729299363056	8101536	0.33	12560	4450	9706	None	Calidad media	B	ART	2025	1005		MAGScoT_cleanbin_000003	Artikutza	Guipuzcoa	Natural
BPART251005.MAGScoT_cleanbin_000004	89.18	73.48	Neural Network (Specific Model)	11	0.847	11538	282.3693867696765	4137655	0.36	4142	524	75709	None	Rejects	B	ART	2025	1005		MAGScoT_cleanbin_000004	Artikutza	Guipuzcoa	Natural
BPATZ241114.MAGScoT_cleanbin_000001	100	0.19	Neural Network (Specific Model)	11	0.823	86147	300.1749116607774	2473376	0.44	2264	65	198181	None	Alta calidad	B	ATZ	2024	1114		MAGScoT_cleanbin_000001	Asteazu	Guipuzcoa	Agricola
BPATZ241114.MAGScoT_cleanbin_000002	99.91	0.03	Neural Network (Specific Model)	11	0.877	267910	303.5689655172414	1624380	0.35	1566	14	425397	None	Alta calidad	B	ATZ	2024	1114		MAGScoT_cleanbin_000002	Asteazu	Guipuzcoa	Agricola
BPATZ241114.MAGScoT_cleanbin_000003	99.8	0.07	Neural Network (Specific Model)	11	0.876	253916	364.3733539891557	1609659	0.47	1291	8	651280	None	Alta calidad	B	ATZ	2024	1114		MAGScoT_cleanbin_000003	Asteazu	Guipuzcoa	Agricola
BPATZ241114.MAGScoT_cleanbin_000004	99.61	59.64	Neural Network (Specific Model)	11	0.857	6724	263.6731943567067	4376256	0.36	4749	953	60217	None	Rejects	B	ATZ	2024	1114		MAGScoT_cleanbin_000004	Asteazu	Guipuzcoa	Agricola
BPATZ241115.MAGScoT_cleanbin_000001	100	0.16	Neural Network (Specific Model)	11	0.823	87992	305.84723481414323	2455095	0.44	2206	51	259502	None	Alta calidad	B	ATZ	2024	1115		MAGScoT_cleanbin_000001	Asteazu	Guipuzcoa	Agricola
BPATZ241115.MAGScoT_cleanbin_000002	90.55	52.35	Neural Network (Specific Model)	11	0.842	8628	278.1076999257242	3998263	0.36	4039	611	57390	None	Rejects	B	ATZ	2024	1115		MAGScoT_cleanbin_000002	Asteazu	Guipuzcoa	Agricola
BPATZ241115.MAGScoT_cleanbin_000003	72.33	17.07	Gradient Boost (General Model)	11	0.837	1626	215.74694873881205	1895150	0.42	2458	1165	7257	None	Rejects	B	ATZ	2024	1115		MAGScoT_cleanbin_000003	Asteazu	Guipuzcoa	Agricola
BPATZ241116.MAGScoT_cleanbin_000001	100	0.08	Neural Network (Specific Model)	11	0.819	103110	300.76116681859617	2412886	0.44	2194	44	224061	None	Alta calidad	B	ATZ	2024	1116		MAGScoT_cleanbin_000001	Asteazu	Guipuzcoa	Agricola
BPATZ241116.MAGScoT_cleanbin_000002	86.12	0.56	Neural Network (Specific Model)	11	0.877	63169	306.8051181102362	1596111	0.34	1524	44	154080	None	Calidad media	B	ATZ	2024	1116		MAGScoT_cleanbin_000002	Asteazu	Guipuzcoa	Agricola
BPATZ241116.MAGScoT_cleanbin_000003	99.13	0.09	Neural Network (Specific Model)	11	0.817	61088	337.36960985626285	1806301	0.47	1461	93	145085	None	Alta calidad	B	ATZ	2024	1116		MAGScoT_cleanbin_000003	Asteazu	Guipuzcoa	Agricola
BPATZ241116.MAGScoT_cleanbin_000004	87.08	10.56	Neural Network (Specific Model)	11	0.87	5477	262.3421154591244	2331256	0.36	2581	598	42991	None	Calidad aceptable	B	ATZ	2024	1116		MAGScoT_cleanbin_000004	Asteazu	Guipuzcoa	Agricola
BPATZ241117.MAGScoT_cleanbin_000001	100	0.2	Neural Network (Specific Model)	11	0.82	82593	298.25293861558555	2503750	0.44	2297	67	171531	None	Alta calidad	B	ATZ	2024	1117		MAGScoT_cleanbin_000001	Asteazu	Guipuzcoa	Agricola
BPATZ241117.MAGScoT_cleanbin_000002	98.34	0.34	Gradient Boost (General Model)	11	0.877	75754	305.3674889310563	1646865	0.34	1581	32	179208	None	Alta calidad	B	ATZ	2024	1117		MAGScoT_cleanbin_000002	Asteazu	Guipuzcoa	Agricola
BPATZ241117.MAGScoT_cleanbin_000003	99.99	6.21	Neural Network (Specific Model)	11	0.865	12779	287.66104800293147	2717775	0.36	2729	405	195375	None	Calidad media	B	ATZ	2024	1117		MAGScoT_cleanbin_000003	Asteazu	Guipuzcoa	Agricola
BPATZ241118.MAGScoT_cleanbin_000001	100	0.09	Neural Network (Specific Model)	11	0.823	87341	300.949430523918	2406283	0.44	2195	55	257298	None	Alta calidad	B	ATZ	2024	1118		MAGScoT_cleanbin_000001	Asteazu	Guipuzcoa	Agricola
BPATZ241118.MAGScoT_cleanbin_000002	98.48	0.26	Gradient Boost (General Model)	11	0.874	145237	311.0130548302872	1632188	0.34	1532	25	357205	None	Alta calidad	B	ATZ	2024	1118		MAGScoT_cleanbin_000002	Asteazu	Guipuzcoa	Agricola
BPATZ241118.MAGScoT_cleanbin_000003	93.92	7.78	Neural Network (Specific Model)	11	0.843	5682	257.8230690711126	2693846	0.35	2939	658	30122	None	Calidad media	B	ATZ	2024	1118		MAGScoT_cleanbin_000003	Asteazu	Guipuzcoa	Agricola
BPATZ241118.MAGScoT_cleanbin_000004	70.6	3.05	Gradient Boost (General Model)	11	0.815	1941	222.76594623089088	3104697	0.66	3794	1661	36901	None	Calidad media	B	ATZ	2024	1118		MAGScoT_cleanbin_000004	Asteazu	Guipuzcoa	Agricola
BPATZ241118.MAGScoT_cleanbin_000005	65.88	4.92	Neural Network (Specific Model)	11	0.829	6547	253.48716814159292	2070299	0.36	2260	591	34907	None	Calidad media	B	ATZ	2024	1118		MAGScoT_cleanbin_000005	Asteazu	Guipuzcoa	Agricola
BPATZ251101.MAGScoT_cleanbin_000001	100	0.25	Neural Network (Specific Model)	11	0.825	39192	296.66510238907847	2526529	0.44	2344	114	199013	None	Alta calidad	B	ATZ	2025	1101		MAGScoT_cleanbin_000001	Asteazu	Guipuzcoa	Agricola
BPATZ251101.MAGScoT_cleanbin_000002	95.98	2.51	Neural Network (Specific Model)	11	0.821	31913	297.0179372197309	2175676	0.43	2007	181	85616	None	Alta calidad	B	ATZ	2025	1101		MAGScoT_cleanbin_000002	Asteazu	Guipuzcoa	Agricola
BPATZ251101.MAGScoT_cleanbin_000003	74.02	8.47	Gradient Boost (General Model)	11	0.792	2087	239.53028747433265	1763197	0.46	1948	884	21213	None	Calidad media	B	ATZ	2025	1101		MAGScoT_cleanbin_000003	Asteazu	Guipuzcoa	Agricola
BPATZ251102.MAGScoT_cleanbin_000001	100	0.05	Neural Network (Specific Model)	11	0.822	82155	301.34064458370636	2454873	0.44	2234	54	270072	None	Alta calidad	B	ATZ	2025	1102		MAGScoT_cleanbin_000001	Asteazu	Guipuzcoa	Agricola
BPATZ251102.MAGScoT_cleanbin_000002	85.18	15.28	Neural Network (Specific Model)	11	0.848	5782	265.1228906823184	2552814	0.36	2726	642	30865	None	Rejects	B	ATZ	2025	1102		MAGScoT_cleanbin_000002	Asteazu	Guipuzcoa	Agricola
BPATZ251103.MAGScoT_cleanbin_000002	95.69	11.62	Neural Network (Specific Model)	11	0.847	6025	270.51878021569354	2571577	0.36	2689	642	29724	None	Calidad aceptable	B	ATZ	2025	1103		MAGScoT_cleanbin_000002	Asteazu	Guipuzcoa	Agricola
BPATZ251103.MAGScoT_cleanbin_000003	78.2	4.06	Gradient Boost (General Model)	11	0.851	3146	263.8015364916773	1451031	0.48	1562	512	23707	None	Calidad media	B	ATZ	2025	1103		MAGScoT_cleanbin_000003	Asteazu	Guipuzcoa	Agricola
BPATZ251104.MAGScoT_cleanbin_000001	100	0.16	Neural Network (Specific Model)	11	0.824	100352	304.93211009174314	2418042	0.44	2180	46	554247	None	Alta calidad	B	ATZ	2025	1104		MAGScoT_cleanbin_000001	Asteazu	Guipuzcoa	Agricola
BPATZ251104.MAGScoT_cleanbin_000002	89.73	2.29	Neural Network (Specific Model)	11	0.915	5461	267.6496294403271	3425785	0.7	3913	830	67170	None	Calidad media	B	ATZ	2025	1104		MAGScoT_cleanbin_000002	Asteazu	Guipuzcoa	Agricola
BPATZ251104.MAGScoT_cleanbin_000003	70.56	2.87	Neural Network (Specific Model)	11	0.891	2244	231.32016232379328	3639203	0.56	4682	1740	18544	None	Calidad media	B	ATZ	2025	1104		MAGScoT_cleanbin_000003	Asteazu	Guipuzcoa	Agricola
BPATZ251105.MAGScoT_cleanbin_000001	100	5.84	Neural Network (Specific Model)	11	0.824	55480	288.9784517158819	2633354	0.44	2506	166	161463	None	Calidad media	B	ATZ	2025	1105		MAGScoT_cleanbin_000001	Asteazu	Guipuzcoa	Agricola
BPATZ251105.MAGScoT_cleanbin_000002	78.76	9.02	Neural Network (Specific Model)	11	0.81	4596	253.52404965089215	2415522	0.36	2578	682	27887	None	Calidad media	B	ATZ	2025	1105		MAGScoT_cleanbin_000002	Asteazu	Guipuzcoa	Agricola
BPBIL240818M.MAGScoT_cleanbin_000001	100	0.11	Neural Network (Specific Model)	11	0.818	89697	302.6	2387996	0.44	2155	40	264181	None	Alta calidad	B	BIL	2024	0818	M	MAGScoT_cleanbin_000001	Bilbao	Vizcaya	Urbano
BPBIL240818M.MAGScoT_cleanbin_000002	100	0.62	Neural Network (Specific Model)	11	0.876	279738	324.54874537227477	5394474	0.52	4862	58	823529	None	Alta calidad	B	BIL	2024	0818	M	MAGScoT_cleanbin_000002	Bilbao	Vizcaya	Urbano
BPBIL240818M.MAGScoT_cleanbin_000003	99.68	0.08	Neural Network (Specific Model)	11	0.876	900156	362.62615384615384	1612942	0.47	1300	13	900156	None	Alta calidad	B	BIL	2024	0818	M	MAGScoT_cleanbin_000003	Bilbao	Vizcaya	Urbano
BPBIL240818M.MAGScoT_cleanbin_000004	91.53	0.72	Neural Network (Specific Model)	11	0.88	14403	287.9854060913706	1545273	0.35	1576	140	97059	None	Alta calidad	B	BIL	2024	0818	M	MAGScoT_cleanbin_000004	Bilbao	Vizcaya	Urbano
BPBIL240818M.MAGScoT_cleanbin_000005	95.36	2.67	Neural Network (Specific Model)	11	0.864	10440	287.6121465968586	4762425	0.55	4775	757	95046	None	Alta calidad	B	BIL	2024	0818	M	MAGScoT_cleanbin_000005	Bilbao	Vizcaya	Urbano
BPBIL240818M.MAGScoT_cleanbin_000006	74.42	23.53	Gradient Boost (General Model)	11	0.853	7814	283.66008316008316	1917700	0.37	1924	377	39497	None	Rejects	B	BIL	2024	0818	M	MAGScoT_cleanbin_000006	Bilbao	Vizcaya	Urbano
BPBIL240820M.MAGScoT_cleanbin_000001	100	0.17	Neural Network (Specific Model)	11	0.82	93261	290.66818181818184	2571249	0.44	2420	60	175058	None	Alta calidad	B	BIL	2024	0820	M	MAGScoT_cleanbin_000001	Bilbao	Vizcaya	Urbano
BPBIL240820M.MAGScoT_cleanbin_000002	98.54	0.23	Gradient Boost (General Model)	11	0.879	123364	308.6564784053156	1582060	0.34	1505	20	357442	None	Alta calidad	B	BIL	2024	0820	M	MAGScoT_cleanbin_000002	Bilbao	Vizcaya	Urbano
BPBIL240820M.MAGScoT_cleanbin_000003	99.18	4.59	Gradient Boost (General Model)	11	0.804	181876	325.3265807243708	1974029	0.46	1629	61	912598	None	Alta calidad	B	BIL	2024	0820	M	MAGScoT_cleanbin_000003	Bilbao	Vizcaya	Urbano
BPBIL240820M.MAGScoT_cleanbin_000004	74.7	5.52	Neural Network (Specific Model)	11	0.753	2539	182.4228007181329	1612315	0.33	2228	709	12763	None	Calidad media	B	BIL	2024	0820	M	MAGScoT_cleanbin_000004	Bilbao	Vizcaya	Urbano
BPBIL240820M.MAGScoT_cleanbin_000005	70.39	6.04	Neural Network (Specific Model)	11	0.851	5451	247.5367054610564	1947202	0.35	2234	537	30058	None	Calidad media	B	BIL	2024	0820	M	MAGScoT_cleanbin_000005	Bilbao	Vizcaya	Urbano
BPBIL240820M.MAGScoT_cleanbin_000006	92.21	43.78	Neural Network (Specific Model)	11	0.861	7037	268.04289479990416	3891638	0.36	4173	773	39828	None	Rejects	B	BIL	2024	0820	M	MAGScoT_cleanbin_000006	Bilbao	Vizcaya	Urbano
BPBIL240821M.MAGScoT_cleanbin_000001	100	2.07	Neural Network (Specific Model)	11	0.814	67073	300.398756660746	2489144	0.44	2252	103	252090	None	Alta calidad	B	BIL	2024	0821	M	MAGScoT_cleanbin_000001	Bilbao	Vizcaya	Urbano
BPBIL240821M.MAGScoT_cleanbin_000002	92.18	3.93	Neural Network (Specific Model)	11	0.858	8746	278.6140422077922	2397234	0.35	2464	409	32464	None	Alta calidad	B	BIL	2024	0821	M	MAGScoT_cleanbin_000002	Bilbao	Vizcaya	Urbano
BPBIL250801.MAGScoT_cleanbin_000001	100	2.12	Neural Network (Specific Model)	11	0.801	63070	296.85434782608695	2553636	0.44	2300	155	283695	None	Alta calidad	B	BIL	2025	0801		MAGScoT_cleanbin_000001	Bilbao	Vizcaya	Urbano
BPBIL250801.MAGScoT_cleanbin_000002	84.26	12.49	Neural Network (Specific Model)	11	0.866	7333	285.79515151515153	2446837	0.36	2475	371	31156	None	Calidad aceptable	B	BIL	2025	0801		MAGScoT_cleanbin_000002	Bilbao	Vizcaya	Urbano
BPBIL250804.MAGScoT_cleanbin_000001	100	1.62	Neural Network (Specific Model)	11	0.812	69247	299.03150625809235	2555469	0.44	2317	121	252516	None	Alta calidad	B	BIL	2025	0804		MAGScoT_cleanbin_000001	Bilbao	Vizcaya	Urbano
BPBIL250804.MAGScoT_cleanbin_000002	96.4	0.9	Neural Network (Specific Model)	11	0.864	20523	303.67162746039367	2193682	0.36	2083	149	68577	None	Alta calidad	B	BIL	2025	0804		MAGScoT_cleanbin_000002	Bilbao	Vizcaya	Urbano
BPBIL250805.MAGScoT_cleanbin_000001	100	1.78	Neural Network (Specific Model)	11	0.796	64296	286.4759576202119	2647380	0.44	2454	183	207982	None	Alta calidad	B	BIL	2025	0805		MAGScoT_cleanbin_000001	Bilbao	Vizcaya	Urbano
BPBIL250805.MAGScoT_cleanbin_000002	76.56	14.1	Neural Network (Specific Model)	11	0.863	4603	266.80747588424435	2304182	0.35	2488	524	50133	None	Calidad aceptable	B	BIL	2025	0805		MAGScoT_cleanbin_000002	Bilbao	Vizcaya	Urbano
BPDON240901.MAGScoT_cleanbin_000001	99.99	2.59	Neural Network (Specific Model)	11	0.806	17864	293.5491698595147	2562032	0.36	2349	291	92361	None	Alta calidad	B	DON	2024	0901		MAGScoT_cleanbin_000001	Donostia	Guipuzcoa	Urbano
BPDON240901.MAGScoT_cleanbin_000002	95.33	1.87	Neural Network (Specific Model)	11	0.882	25205	293.71069587628864	1548732	0.35	1552	103	128432	None	Alta calidad	B	DON	2024	0901		MAGScoT_cleanbin_000002	Donostia	Guipuzcoa	Urbano
BPDON240901.MAGScoT_cleanbin_000003	72.67	4.08	Neural Network (Specific Model)	11	0.797	6290	260.24485125858126	2136649	0.36	2185	565	43560	None	Calidad media	B	DON	2024	0901		MAGScoT_cleanbin_000003	Donostia	Guipuzcoa	Urbano
BPDON240901.MAGScoT_cleanbin_000004	62.9	3.08	Gradient Boost (General Model)	11	0.81	2293	237.58921438082555	1319080	0.47	1502	628	13795	None	Calidad media	B	DON	2024	0901		MAGScoT_cleanbin_000004	Donostia	Guipuzcoa	Urbano
BPDON240902.MAGScoT_cleanbin_000001	100	0.12	Neural Network (Specific Model)	11	0.829	24039	292.2678494158373	2441143	0.44	2311	166	68890	None	Alta calidad	B	DON	2024	0902		MAGScoT_cleanbin_000001	Donostia	Guipuzcoa	Urbano
BPDON240902.MAGScoT_cleanbin_000002	75.75	18.15	Neural Network (Specific Model)	11	0.823	7792	278.27291494632533	2454770	0.36	2422	483	60381	None	Rejects	B	DON	2024	0902		MAGScoT_cleanbin_000002	Donostia	Guipuzcoa	Urbano
BPDON240902.MAGScoT_cleanbin_000003	82.42	22.97	Gradient Boost (General Model)	11	0.824	1596	206.66526093832368	2847070	0.38	3794	1778	8515	None	Rejects	B	DON	2024	0902		MAGScoT_cleanbin_000003	Donostia	Guipuzcoa	Urbano
BPDON240903.MAGScoT_cleanbin_000001	99.7	0.24	Neural Network (Specific Model)	11	0.887	254058	325.0273881095524	1643979	0.45	1497	17	528841	None	Alta calidad	B	DON	2024	0903		MAGScoT_cleanbin_000001	Donostia	Guipuzcoa	Urbano
BPDON240903.MAGScoT_cleanbin_000002	98.51	4.6	Neural Network (Specific Model)	11	0.838	7831	278.93867717915026	2276866	0.36	2283	437	60394	None	Alta calidad	B	DON	2024	0903		MAGScoT_cleanbin_000002	Donostia	Guipuzcoa	Urbano
BPDON240903.MAGScoT_cleanbin_000003	93.98	4.28	Neural Network (Specific Model)	11	0.797	7364	285.96912114014253	2261707	0.46	2105	658	59613	None	Alta calidad	B	DON	2024	0903		MAGScoT_cleanbin_000003	Donostia	Guipuzcoa	Urbano
