Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Categoria
BPBIL240820M.MAGScoT_cleanbin_000005	70.39	6.04	Neural Network (Specific Model)	11	0.851	5451	247.5367054610564	1947202	0.35	2234	537	30058	None	Calidad media
BPDON240901.MAGScoT_cleanbin_000003	72.67	4.08	Neural Network (Specific Model)	11	0.797	6290	260.24485125858126	2136649	0.36	2185	565	43560	None	Calidad media
BPDON240901.MAGScoT_cleanbin_000004	62.9	3.08	Gradient Boost (General Model)	11	0.81	2293	237.58921438082555	1319080	0.47	1502	628	13795	None	Calidad media
BPDON240905.MAGScoT_cleanbin_000002	88.73	3.12	Neural Network (Specific Model)	11	0.879	8919	315.75718194254443	1573591	0.47	1462	251	47074	None	Calidad media
BPDON250904.MAGScoT_cleanbin_000001	100	7.05	Neural Network (Specific Model)	11	0.797	24879	291.4927966101695	2585227	0.44	2360	313	113592	None	Calidad media
BPDON250905.MAGScoT_cleanbin_000006	56.28	3.4	Gradient Boost (General Model)	11	0.885	1818	215.39350912778903	1796347	0.48	2465	1006	10980	None	Calidad media
BPGAS240901.MAGScoT_cleanbin_000002	99.31	5.04	Neural Network (Specific Model)	11	0.828	8841	281.1049153242462	2463724	0.36	2421	440	55481	None	Calidad media
BPGAS240901.MAGScoT_cleanbin_000003	79.89	7.72	Neural Network (Specific Model)	11	0.796	5994	252.35406698564591	2778565	0.35	2926	839	34754	None	Calidad media
BPGAS250904.MAGScoT_cleanbin_000003	78.27	1.42	Neural Network (Specific Model)	11	0.873	7944	279.44115796098174	1522776	0.34	1589	253	44200	None	Calidad media
BPGAS250904.MAGScoT_cleanbin_000004	78.97	2.62	Neural Network (Specific Model)	11	0.81	4171	256.25869461648404	1989888	0.43	2099	638	21869	None	Calidad media
BPGAS250905.MAGScoT_cleanbin_000002	95.23	5.55	Gradient Boost (General Model)	11	0.785	8129	284.5038090401219	2136420	0.45	1969	581	38901	None	Calidad media
BPGOR241410M.MAGScoT_cleanbin_000003	100	5.17	Neural Network (Specific Model)	11	0.848	13784	281.42577842143373	2744748	0.36	2762	335	47494	None	Calidad media
BPGOR251405.MAGScoT_cleanbin_000001	96.66	7.09	Neural Network (Specific Model)	11	0.822	6342	267.6560885608856	2644641	0.36	2710	589	27352	None	Calidad media
BPKAR240401.MAGScoT_cleanbin_000003	78.13	2.51	Neural Network (Specific Model)	11	0.742	7005	257.7337303275202	2446670	0.36	2351	701	60334	None	Calidad media
BPKAR240404.MAGScoT_cleanbin_000002	88.68	2.84	Neural Network (Specific Model)	11	0.867	12361	286.8466726618705	2203889	0.36	2224	311	65998	None	Calidad media
BPKAR240404.MAGScoT_cleanbin_000004	77.88	5.01	Neural Network (Specific Model)	11	0.814	10132	277.53831041257365	2080899	0.36	2036	350	60334	None	Calidad media
BPKAR240405.MAGScoT_cleanbin_000002	84.06	0.31	Neural Network (Specific Model)	11	0.88	11687	286.95737483085253	1441949	0.34	1478	158	56703	None	Calidad media
BPKAR240405.MAGScoT_cleanbin_000003	96.23	7.33	Neural Network (Specific Model)	11	0.831	7064	270.4217713616855	2499098	0.36	2563	532	36944	None	Calidad media
BPKAR240406.MAGScoT_cleanbin_000003	73.93	6.26	Neural Network (Specific Model)	11	0.819	2791	251.43514879281304	1636641	0.46	1781	682	15972	None	Calidad media
BPKAR240406.MAGScoT_cleanbin_000004	70.35	3.89	Neural Network (Specific Model)	11	0.861	5632	259.649455234486	1906178	0.35	2111	480	46130	None	Calidad media
BPKAR240406.MAGScoT_cleanbin_000005	74.16	9.13	Neural Network (Specific Model)	11	0.834	5851	249.05526315789473	2379352	0.35	2660	575	42945	None	Calidad media
BPKAR240407.MAGScoT_cleanbin_000002	95.62	5.39	Neural Network (Specific Model)	11	0.844	7627	267.9122383252818	2361146	0.35	2484	469	36944	None	Calidad media
BPKAR250401.MAGScoT_cleanbin_000004	71.12	1.58	Gradient Boost (General Model)	11	0.916	2479	232.3503026967529	2760343	0.7	3634	1224	30229	None	Calidad media
BPKAR250402.MAGScoT_cleanbin_000003	78.78	4.48	Neural Network (Specific Model)	11	0.876	5799	263.09525880817745	2069229	0.36	2299	514	55276	None	Calidad media
BPKAR250402.MAGScoT_cleanbin_000004	68.37	2.01	Neural Network (Specific Model)	11	0.798	5116	240.74100980748275	2485359	0.4	2753	848	34821	None	Calidad media
BPKAR250405.MAGScoT_cleanbin_000001	77.59	6.71	Gradient Boost (General Model)	11	0.836	1675	226.54324942791763	1773804	0.38	2185	1038	15074	None	Calidad media
BPVAL240221.MAGScoT_cleanbin_000002	87.59	4.39	Neural Network (Specific Model)	11	0.82	4346	264.61680143755615	2150661	0.45	2226	654	24611	None	Calidad media
BPVAL240222.MAGScoT_cleanbin_000002	87.4	4.63	Neural Network (Specific Model)	11	0.836	6653	263.2624090006618	2850668	0.35	3022	633	40552	None	Calidad media
BPVAL240222.MAGScoT_cleanbin_000003	70.31	0.87	Gradient Boost (General Model)	11	0.832	2547	248.7475149105368	1350790	0.47	1509	591	12553	None	Calidad media
BPVAL240222.MAGScoT_cleanbin_000004	74.84	5.98	Neural Network (Specific Model)	11	0.825	7137	262.81904310753197	2014410	0.36	2111	439	34921	None	Calidad media
BPVAL240223.MAGScoT_cleanbin_000003	73.86	4.36	Neural Network (Specific Model)	11	0.832	2630	248.7224852071006	1512700	0.47	1690	651	11337	None	Calidad media
BPVAL240224.MAGScoT_cleanbin_000001	87.13	3.13	Neural Network (Specific Model)	11	0.775	3354	249.68021567814185	2326102	0.36	2411	819	17466	None	Calidad media
BPVAL240225.MAGScoT_cleanbin_000005	69.72	5.95	Neural Network (Specific Model)	11	0.865	10504	282.9330227140361	1682018	0.36	1717	269	53393	None	Calidad media
BPVAL240225.MAGScoT_cleanbin_000006	55.29	0.65	Neural Network (Specific Model)	11	0.811	5242	254.67403896787783	1786507	0.35	1899	428	36841	None	Calidad media
BPVAL250101.MAGScoT_cleanbin_000003	60.72	7.3	Gradient Boost (General Model)	11	0.896	3514	259.4487767584098	1134896	0.36	1308	378	28853	None	Calidad media
BPVAL250102.MAGScoT_cleanbin_000004	88.54	1.27	Neural Network (Specific Model)	11	0.883	12112	329.4083272461651	1530241	0.48	1369	185	56482	None	Calidad media
BPVAL250102.MAGScoT_cleanbin_000005	71.38	2.88	Neural Network (Specific Model)	11	0.915	2604	236.7271505376344	2881869	0.7	3720	1228	38007	None	Calidad media
BPVAL250104.MAGScoT_cleanbin_000003	99.21	8.69	Neural Network (Specific Model)	11	0.846	8156	275.448210205636	2562856	0.36	2626	523	60094	None	Calidad media
BPVAL250105.MAGScoT_cleanbin_000004	76.71	5.41	Neural Network (Specific Model)	11	0.881	2521	219.1718963165075	1637847	0.35	2199	723	14683	None	Calidad media
BPZEB240707M.MAGScoT_cleanbin_000005	94.63	8.9	Gradient Boost (General Model)	11	0.755	5213	234.9908536585366	2137909	0.34	2296	664	58647	None	Calidad media
BPZEB240709M.MAGScoT_cleanbin_000002	70.86	3.37	Neural Network (Specific Model)	11	0.761	2433	218.9861224489796	2110897	0.36	2450	956	38695	None	Calidad media
BPZEB240711M.MAGScoT_cleanbin_000001	59.61	8.74	Gradient Boost (General Model)	11	0.806	1523	201.55128205128204	1985730	0.39	2652	1275	7289	None	Calidad media
BPZEB240712M.MAGScoT_cleanbin_000002	93.89	5.3	Neural Network (Specific Model)	11	0.793	8833	266.65398683247986	2755204	0.35	2734	513	42278	None	Calidad media
BPZEB240717M.MAGScoT_cleanbin_000002	99.09	9.28	Gradient Boost (General Model)	11	0.826	64794	288.2518054886856	2168749	0.34	2077	163	179122	None	Calidad media
BPZEB240717M.MAGScoT_cleanbin_000003	71.44	2.68	Neural Network (Specific Model)	11	0.821	2441	241.00585137507315	1501562	0.47	1709	677	42307	None	Calidad media
BPZEB240717M.MAGScoT_cleanbin_000004	54.94	2.76	Neural Network (Specific Model)	11	0.881	5746	276.86614173228344	1316037	0.36	1397	330	27931	None	Calidad media
BPZEB250702.MAGScoT_cleanbin_000003	81.45	3.33	Neural Network (Specific Model)	11	0.839	3543	246.58947885939037	1789708	0.45	2034	590	12797	None	Calidad media
BPZEB250703.MAGScoT_cleanbin_000003	60.49	0.67	Gradient Boost (General Model)	11	0.852	2230	238.03658536585365	1235088	0.47	1476	615	8599	None	Calidad media
BPDON240903.MAGScoT_cleanbin_000004	79.72	5	Neural Network (Specific Model)	11	0.772	8049	253.29422581831557	2670929	0.35	2719	621	42364	None	Calidad media
BPKAR250401.MAGScoT_cleanbin_000003	82.49	1.96	Neural Network (Specific Model)	11	0.882	10930	283.18435091879076	1620493	0.34	1687	231	49962	None	Calidad media
