user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
BPART241006__BPART241006.MAGScoT_cleanbin_000002	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	GCF_900094945.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	99.08	0.725	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 86.84, 0.204; GCF_900103255.1, s__Gilliamella bombi, 95.0, 87.02, 0.209; GCF_900094935.1, s__Gilliamella intestini, 95.23, 86.68, 0.202; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 86.75, 0.223; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 92.63, 0.447; GCF_900103085.1, s__Gilliamella mensalis, 95.0, 93.38, 0.512; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 86.49, 0.228; GCF_009795805.1, s__Gilliamella sp009795805, 95.0, 86.87, 0.239; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 89.79, 0.342; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 89.67, 0.337	N/A	N/A	N/A	N/A
BPART241017M__BPART241017M.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.7	0.906	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.58, 0.581; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.64, 0.602; GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 91.91, 0.726; GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.25, 0.782	N/A	N/A	N/A	N/A
BPART241017M__BPART241017M.MAGScoT_cleanbin_000002	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__Fructobacillus cardui	GCF_023218935.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__Fructobacillus cardui	97.66	0.868	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_963580165.1, s__Fructobacillus evanidus, 95.0, 92.6, 0.783; GCF_001047135.2, s__Fructobacillus tropaeoli, 95.0, 94.46, 0.82; GCF_024029775.1, s__Fructobacillus americanaquae, 95.0, 89.26, 0.642	N/A	N/A	N/A	N/A
BPART241017M__BPART241017M.MAGScoT_cleanbin_000003	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	GCF_002259585.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	98.85	0.867	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
BPART241017M__BPART241017M.MAGScoT_cleanbin_000004	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	GCF_900094945.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	98.79	0.759	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 85.5, 0.23; GCF_009795805.1, s__Gilliamella sp009795805, 95.0, 86.56, 0.268; GCF_001690275.1, s__Gilliamella apicola_C, 95.0, 84.56, 0.164; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 91.14, 0.461; GCF_900094935.1, s__Gilliamella intestini, 95.23, 85.6, 0.213; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 86.39, 0.229; GCF_900103085.1, s__Gilliamella mensalis, 95.0, 90.98, 0.431; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 88.94, 0.363; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 88.16, 0.338; GCF_900103255.1, s__Gilliamella bombi, 95.0, 85.83, 0.232; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 86.35, 0.232	N/A	N/A	N/A	N/A
BPART241017M__BPART241017M.MAGScoT_cleanbin_000005	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Xylocopilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Xylocopilactobacillus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	52.93	11	0.99205	Genome has more than 14.2% of markers with multiple hits
BPART241017M__BPART241017M.MAGScoT_cleanbin_000006	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	GCF_900103085.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	98.54	0.704	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 93.52, 0.546; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 85.52, 0.164; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 85.77, 0.16; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 89.62, 0.406; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 86.08, 0.22; GCF_900094945.1, s__Gilliamella bombicola, 95.0, 90.48, 0.403; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 89.75, 0.432; GCF_900103255.1, s__Gilliamella bombi, 95.0, 86.22, 0.236; GCF_001690275.1, s__Gilliamella apicola_C, 95.0, 85.15, 0.166; GCF_900094935.1, s__Gilliamella intestini, 95.23, 85.93, 0.198	N/A	N/A	N/A	N/A
BPART251001__BPART251001.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.77	0.928	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 93.99, 0.793; GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 92.15, 0.739; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.38, 0.59; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.56, 0.595	N/A	N/A	N/A	N/A
BPART251001__BPART251001.MAGScoT_cleanbin_000002	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	GCF_900103085.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	99.03	0.926	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900094935.1, s__Gilliamella intestini, 95.23, 85.81, 0.292; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 89.61, 0.498; GCF_900103255.1, s__Gilliamella bombi, 95.0, 86.25, 0.303; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 85.78, 0.246; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 85.31, 0.235; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 89.69, 0.56; GCF_001690275.1, s__Gilliamella apicola_C, 95.0, 84.91, 0.178; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 93.47, 0.598; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 86.14, 0.348; GCF_900094945.1, s__Gilliamella bombicola, 95.0, 94.63, 0.718; GCF_009795805.1, s__Gilliamella sp009795805, 95.0, 85.16, 0.247	N/A	N/A	N/A	N/A
BPART251001__BPART251001.MAGScoT_cleanbin_000003	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	GCF_002259585.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	98.9	0.599	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
BPART251002__BPART251002.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.77	0.895	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 91.77, 0.713; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.62, 0.585; GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.25, 0.783; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.59, 0.584	N/A	N/A	N/A	N/A
BPART251002__BPART251002.MAGScoT_cleanbin_000002	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus bombicola	GCF_900112665.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus bombicola	97.36	0.877	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
BPART251002__BPART251002.MAGScoT_cleanbin_000003	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp001619615	GCF_001619615.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp001619615	98.51	0.911	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_031455375.1, s__Microbacterium sp031455375, 95.0, 83.87, 0.18; GCF_001456955.1, s__Microbacterium enclense, 95.0, 83.44, 0.168; GCF_003075375.1, s__Microbacterium testaceum_E, 95.0, 84.09, 0.191; GCF_032464935.1, s__Microbacterium phycohabitans, 95.0, 83.95, 0.196; GCF_029761935.1, s__Microbacterium testaceum_A, 95.0, 83.57, 0.166; GCF_031844085.1, s__Microbacterium sp031844085, 95.0, 83.64, 0.188; GCF_030818255.1, s__Microbacterium sp030818255, 95.0, 83.89, 0.186; GCF_026625865.1, s__Microbacterium sp022702225, 95.0, 83.22, 0.153; GCF_008763945.1, s__Microbacterium testaceum_G, 95.0, 83.38, 0.198; GCF_001476655.1, s__Microbacterium testaceum_C, 95.0, 83.81, 0.164; GCF_000202635.1, s__Microbacterium testaceum_F, 95.0, 83.88, 0.203; GCF_032464915.1, s__Microbacterium galbum, 95.0, 83.88, 0.181; GCF_913774845.1, s__Microbacterium sp913774845, 95.0, 84.16, 0.184; GCF_030818955.1, s__Microbacterium trichothecenolyticum_B, 95.0, 83.66, 0.162; GCF_000333395.1, s__Microbacterium sp000333395, 95.0, 94.03, 0.711; GCF_051964215.1, s__Microbacterium algihabitans_A, 95.0, 84.13, 0.179; GCF_900156435.1, s__Microbacterium sp900156435, 95.0, 84.37, 0.181; GCA_038182865.1, s__Microbacterium enclense_B, 95.0, 83.57, 0.191; GCF_004022425.1, s__Microbacterium enclense_A, 95.0, 87.66, 0.415; GCF_046295495.1, s__Microbacterium sp046295495, 95.0, 84.29, 0.178; GCF_025960885.1, s__Microbacterium hydrothermale, 95.0, 84.69, 0.191; GCF_044748345.1, s__Microbacterium sp044748345, 95.0, 83.03, 0.161; GCF_900156455.1, s__Microbacterium sp900156455, 95.0, 87.6, 0.468; GCF_001476285.1, s__Microbacterium testaceum_B, 95.0, 84.55, 0.206; GCF_032464975.1, s__Microbacterium algihabitans, 95.0, 84.24, 0.182; GCF_040815675.1, s__Microbacterium sp016870695, 95.0, 83.32, 0.163; GCF_049739645.1, s__Microbacterium sp049739645, 95.0, 94.5, 0.79; GCF_001792815.1, s__Microbacterium sp001792815, 95.0, 83.5, 0.161; GCF_029639405.1, s__Microbacterium sp001984105, 95.0, 88.3, 0.502; GCF_014192415.1, s__Microbacterium proteolyticum, 95.0, 82.7, 0.15; GCF_047238045.1, s__Microbacterium sp047238045, 95.0, 87.06, 0.438; GCF_006539145.1, s__Microbacterium testaceum, 95.0, 83.4, 0.16; GCF_005774735.1, s__Microbacterium sp005774735, 95.0, 86.08, 0.345; GCF_913776565.1, s__Microbacterium sp913776565, 95.0, 84.47, 0.158; GCF_046064585.1, s__Microbacterium mcarthurae, 95.0, 85.29, 0.324; GCF_020781835.1, s__Microbacterium testaceum_H, 95.0, 86.27, 0.334; GCF_913774665.1, s__Microbacterium sp913774665, 95.0, 83.96, 0.171	N/A	N/A	N/A	N/A
BPART251002__BPART251002.MAGScoT_cleanbin_000004	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Xylocopilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Xylocopilactobacillus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.01	11	0.99051	N/A
BPART251002__BPART251002.MAGScoT_cleanbin_000005	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	GCF_002259585.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	99.08	0.94	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
BPART251002__BPART251002.MAGScoT_cleanbin_000006	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp902168225	GCA_902168225.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp902168225	97.9	0.893	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_017537025.1, s__Sediminibacterium sp017537025, 95.0, 90.77, 0.613	N/A	N/A	N/A	N/A
BPART251002__BPART251002.MAGScoT_cleanbin_000007	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	GCF_900094945.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	99.17	0.897	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_009795805.1, s__Gilliamella sp009795805, 95.0, 86.35, 0.277; GCF_001690275.1, s__Gilliamella apicola_C, 95.0, 84.09, 0.155; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 91.15, 0.5; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 86.16, 0.237; GCF_900094935.1, s__Gilliamella intestini, 95.23, 85.69, 0.233; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 88.9, 0.347; GCF_900103255.1, s__Gilliamella bombi, 95.0, 85.77, 0.235; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 85.79, 0.228; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 88.14, 0.329; GCF_900103085.1, s__Gilliamella mensalis, 95.0, 90.98, 0.451; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 85.59, 0.224	N/A	N/A	N/A	N/A
BPART251002__BPART251002.MAGScoT_cleanbin_000008	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	GCF_900103085.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	98.78	0.815	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 89.32, 0.427; GCF_900094935.1, s__Gilliamella intestini, 95.23, 86.14, 0.177; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 90.17, 0.428; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 86.02, 0.153; GCF_900103255.1, s__Gilliamella bombi, 95.0, 86.93, 0.225; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 86.72, 0.197; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 93.12, 0.59; GCF_900094945.1, s__Gilliamella bombicola, 95.0, 89.95, 0.36	N/A	N/A	N/A	N/A
