Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Categoria
BPATZ241114.MAGScoT_cleanbin_000001	100	0.19	Neural Network (Specific Model)	11	0.823	86147	300.1749116607774	2473376	0.44	2264	65	198181	None	Alta calidad
BPATZ241114.MAGScoT_cleanbin_000002	99.91	0.03	Neural Network (Specific Model)	11	0.877	267910	303.5689655172414	1624380	0.35	1566	14	425397	None	Alta calidad
BPATZ241114.MAGScoT_cleanbin_000003	99.8	0.07	Neural Network (Specific Model)	11	0.876	253916	364.3733539891557	1609659	0.47	1291	8	651280	None	Alta calidad
BPATZ241115.MAGScoT_cleanbin_000001	100	0.16	Neural Network (Specific Model)	11	0.823	87992	305.84723481414323	2455095	0.44	2206	51	259502	None	Alta calidad
BPATZ241116.MAGScoT_cleanbin_000001	100	0.08	Neural Network (Specific Model)	11	0.819	103110	300.76116681859617	2412886	0.44	2194	44	224061	None	Alta calidad
BPATZ241116.MAGScoT_cleanbin_000003	99.13	0.09	Neural Network (Specific Model)	11	0.817	61088	337.36960985626285	1806301	0.47	1461	93	145085	None	Alta calidad
BPATZ241117.MAGScoT_cleanbin_000001	100	0.2	Neural Network (Specific Model)	11	0.82	82593	298.25293861558555	2503750	0.44	2297	67	171531	None	Alta calidad
BPATZ241117.MAGScoT_cleanbin_000002	98.34	0.34	Gradient Boost (General Model)	11	0.877	75754	305.3674889310563	1646865	0.34	1581	32	179208	None	Alta calidad
BPATZ241118.MAGScoT_cleanbin_000001	100	0.09	Neural Network (Specific Model)	11	0.823	87341	300.949430523918	2406283	0.44	2195	55	257298	None	Alta calidad
BPATZ241118.MAGScoT_cleanbin_000002	98.48	0.26	Gradient Boost (General Model)	11	0.874	145237	311.0130548302872	1632188	0.34	1532	25	357205	None	Alta calidad
BPATZ251101.MAGScoT_cleanbin_000001	100	0.25	Neural Network (Specific Model)	11	0.825	39192	296.66510238907847	2526529	0.44	2344	114	199013	None	Alta calidad
BPATZ251101.MAGScoT_cleanbin_000002	95.98	2.51	Neural Network (Specific Model)	11	0.821	31913	297.0179372197309	2175676	0.43	2007	181	85616	None	Alta calidad
BPATZ251102.MAGScoT_cleanbin_000001	100	0.05	Neural Network (Specific Model)	11	0.822	82155	301.34064458370636	2454873	0.44	2234	54	270072	None	Alta calidad
BPATZ251104.MAGScoT_cleanbin_000001	100	0.16	Neural Network (Specific Model)	11	0.824	100352	304.93211009174314	2418042	0.44	2180	46	554247	None	Alta calidad
BPBIL240818M.MAGScoT_cleanbin_000001	100	0.11	Neural Network (Specific Model)	11	0.818	89697	302.6	2387996	0.44	2155	40	264181	None	Alta calidad
BPBIL240818M.MAGScoT_cleanbin_000002	100	0.62	Neural Network (Specific Model)	11	0.876	279738	324.54874537227477	5394474	0.52	4862	58	823529	None	Alta calidad
BPBIL240818M.MAGScoT_cleanbin_000003	99.68	0.08	Neural Network (Specific Model)	11	0.876	900156	362.62615384615384	1612942	0.47	1300	13	900156	None	Alta calidad
BPBIL240818M.MAGScoT_cleanbin_000004	91.53	0.72	Neural Network (Specific Model)	11	0.88	14403	287.9854060913706	1545273	0.35	1576	140	97059	None	Alta calidad
BPBIL240818M.MAGScoT_cleanbin_000005	95.36	2.67	Neural Network (Specific Model)	11	0.864	10440	287.6121465968586	4762425	0.55	4775	757	95046	None	Alta calidad
BPBIL240820M.MAGScoT_cleanbin_000001	100	0.17	Neural Network (Specific Model)	11	0.82	93261	290.66818181818184	2571249	0.44	2420	60	175058	None	Alta calidad
BPBIL240820M.MAGScoT_cleanbin_000002	98.54	0.23	Gradient Boost (General Model)	11	0.879	123364	308.6564784053156	1582060	0.34	1505	20	357442	None	Alta calidad
BPBIL240820M.MAGScoT_cleanbin_000003	99.18	4.59	Gradient Boost (General Model)	11	0.804	181876	325.3265807243708	1974029	0.46	1629	61	912598	None	Alta calidad
BPBIL240821M.MAGScoT_cleanbin_000001	100	2.07	Neural Network (Specific Model)	11	0.814	67073	300.398756660746	2489144	0.44	2252	103	252090	None	Alta calidad
BPBIL240821M.MAGScoT_cleanbin_000002	92.18	3.93	Neural Network (Specific Model)	11	0.858	8746	278.6140422077922	2397234	0.35	2464	409	32464	None	Alta calidad
BPBIL250801.MAGScoT_cleanbin_000001	100	2.12	Neural Network (Specific Model)	11	0.801	63070	296.85434782608695	2553636	0.44	2300	155	283695	None	Alta calidad
BPBIL250804.MAGScoT_cleanbin_000001	100	1.62	Neural Network (Specific Model)	11	0.812	69247	299.03150625809235	2555469	0.44	2317	121	252516	None	Alta calidad
BPBIL250804.MAGScoT_cleanbin_000002	96.4	0.9	Neural Network (Specific Model)	11	0.864	20523	303.67162746039367	2193682	0.36	2083	149	68577	None	Alta calidad
BPBIL250805.MAGScoT_cleanbin_000001	100	1.78	Neural Network (Specific Model)	11	0.796	64296	286.4759576202119	2647380	0.44	2454	183	207982	None	Alta calidad
BPDON240901.MAGScoT_cleanbin_000001	99.99	2.59	Neural Network (Specific Model)	11	0.806	17864	293.5491698595147	2562032	0.36	2349	291	92361	None	Alta calidad
BPDON240901.MAGScoT_cleanbin_000002	95.33	1.87	Neural Network (Specific Model)	11	0.882	25205	293.71069587628864	1548732	0.35	1552	103	128432	None	Alta calidad
BPDON240902.MAGScoT_cleanbin_000001	100	0.12	Neural Network (Specific Model)	11	0.829	24039	292.2678494158373	2441143	0.44	2311	166	68890	None	Alta calidad
BPDON240903.MAGScoT_cleanbin_000001	99.7	0.24	Neural Network (Specific Model)	11	0.887	254058	325.0273881095524	1643979	0.45	1497	17	528841	None	Alta calidad
BPDON240903.MAGScoT_cleanbin_000002	98.51	4.6	Neural Network (Specific Model)	11	0.838	7831	278.93867717915026	2276866	0.36	2283	437	60394	None	Alta calidad
BPDON240903.MAGScoT_cleanbin_000003	93.98	4.28	Neural Network (Specific Model)	11	0.797	7364	285.96912114014253	2261707	0.46	2105	658	59613	None	Alta calidad
BPDON240904.MAGScoT_cleanbin_000001	100	1.49	Neural Network (Specific Model)	11	0.86	58897	312.3989898989899	2369794	0.35	2178	75	210323	None	Alta calidad
BPDON240904.MAGScoT_cleanbin_000002	96.11	4.21	Neural Network (Specific Model)	11	0.786	68369	289.9544405997693	1914600	0.35	1734	88	250407	None	Alta calidad
BPDON240905.MAGScoT_cleanbin_000001	100	0.08	Neural Network (Specific Model)	11	0.821	114756	302.56132292145156	2403875	0.44	2177	32	363735	None	Alta calidad
BPDON250901.MAGScoT_cleanbin_000001	100	0.1	Neural Network (Specific Model)	11	0.826	41350	299.7489655172414	2365493	0.44	2175	111	118864	None	Alta calidad
BPDON250901.MAGScoT_cleanbin_000002	92.26	1	Neural Network (Specific Model)	11	0.867	17146	299.7846083788707	2275062	0.35	2196	192	45998	None	Alta calidad
BPDON250902.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.823	78283	290.80049261083747	2579419	0.44	2436	64	258464	None	Alta calidad
BPDON250902.MAGScoT_cleanbin_000002	98.45	0.88	Gradient Boost (General Model)	11	0.884	40909	310.4975778546713	1519146	0.34	1445	61	110207	None	Alta calidad
BPDON250905.MAGScoT_cleanbin_000001	99.99	0.05	Neural Network (Specific Model)	11	0.883	69904	308.0965824665676	2110527	0.39	2019	57	192936	None	Alta calidad
BPDON250905.MAGScoT_cleanbin_000002	99.85	0.13	Neural Network (Specific Model)	11	0.884	253749	346.2532601235415	1710278	0.48	1457	11	728250	None	Alta calidad
BPDON250905.MAGScoT_cleanbin_000003	99.66	1.76	Neural Network (Specific Model)	11	0.829	9458	276.23028953229397	2240425	0.44	2245	327	32551	None	Alta calidad
BPGAS240901.MAGScoT_cleanbin_000001	100	0.12	Neural Network (Specific Model)	11	0.819	76064	296.0759662372279	2436775	0.44	2251	71	192615	None	Alta calidad
BPGAS240903.MAGScoT_cleanbin_000001	100	4.43	Neural Network (Specific Model)	11	0.816	62081	285.6777269260107	2750367	0.43	2622	141	130153	None	Alta calidad
BPGAS240903.MAGScoT_cleanbin_000002	95.97	1.52	Neural Network (Specific Model)	11	0.862	22874	304.76074498567334	2217383	0.35	2094	141	70331	None	Alta calidad
BPGAS240904.MAGScoT_cleanbin_000001	100	0.12	Neural Network (Specific Model)	11	0.826	46764	297.0169114374722	2422078	0.44	2247	76	115970	None	Alta calidad
BPGAS240905.MAGScoT_cleanbin_000001	99.98	0.83	Neural Network (Specific Model)	11	0.86	54187	317.74491315136476	2232462	0.35	2015	71	232567	None	Alta calidad
BPGAS240906.MAGScoT_cleanbin_000001	99.98	0.08	Neural Network (Specific Model)	11	0.859	18486	304.00143403441683	2218391	0.35	2092	210	72770	None	Alta calidad
BPGAS250901.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.821	101701	297.5719964664311	2458265	0.44	2264	50	296549	None	Alta calidad
BPGAS250902.MAGScoT_cleanbin_000001	100	0.88	Neural Network (Specific Model)	11	0.819	101215	300.5201448619285	2428597	0.44	2209	44	195359	None	Alta calidad
BPGAS250902.MAGScoT_cleanbin_000002	100	0.08	Neural Network (Specific Model)	11	0.817	58457	299.8481899571818	2823779	0.36	2569	102	148042	None	Alta calidad
BPGAS250903.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.821	83396	297.7238805970149	2474176	0.44	2278	55	163297	None	Alta calidad
BPGAS250904.MAGScoT_cleanbin_000001	100	0.18	Neural Network (Specific Model)	11	0.824	69022	293.4677558039553	2482224	0.44	2326	68	209515	None	Alta calidad
BPGAS250904.MAGScoT_cleanbin_000002	92.63	2.38	Neural Network (Specific Model)	11	0.86	10622	317.62426229508196	1688117	0.48	1525	282	36382	None	Alta calidad
BPGAS250905.MAGScoT_cleanbin_000001	100	0.15	Neural Network (Specific Model)	11	0.82	100849	297.24599393676914	2508051	0.44	2309	42	397850	None	Alta calidad
BPGOR241401M.MAGScoT_cleanbin_000001	99.99	1.44	Neural Network (Specific Model)	11	0.864	29888	308.0728876508821	2301828	0.36	2154	114	103856	None	Alta calidad
BPGOR241401M.MAGScoT_cleanbin_000002	99.91	0.1	Neural Network (Specific Model)	11	0.793	85939	300.8506464556398	2550608	0.44	2243	142	194588	None	Alta calidad
BPGOR241407M.MAGScoT_cleanbin_000002	100	0.22	Neural Network (Specific Model)	11	0.776	24163	281.9439637412443	2640167	0.44	2427	363	110355	None	Alta calidad
BPGOR241408M.MAGScoT_cleanbin_000001	99.98	0.24	Neural Network (Specific Model)	11	0.821	24437	286.5990606319385	2449450	0.44	2342	189	83846	None	Alta calidad
BPGOR241409M.MAGScoT_cleanbin_000001	100	0.08	Neural Network (Specific Model)	11	0.824	99627	299.8905043162199	2400980	0.44	2201	44	228554	None	Alta calidad
BPGOR241410M.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.819	99861	299.15463003987594	2468898	0.44	2257	54	300478	None	Alta calidad
BPGOR241410M.MAGScoT_cleanbin_000002	98.54	0.24	Gradient Boost (General Model)	11	0.882	155286	311.3583502366464	1561834	0.34	1479	14	396016	None	Alta calidad
BPGOR251403.MAGScoT_cleanbin_000001	100	1.02	Neural Network (Specific Model)	11	0.821	82762	297.77977232924695	2483348	0.44	2284	86	151144	None	Alta calidad
BPGOR251404.MAGScoT_cleanbin_000001	99.99	0.63	Neural Network (Specific Model)	11	0.821	20574	301.9500225123818	2446403	0.36	2221	199	72802	None	Alta calidad
BPKAR240401.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.82	85828	290.8763853367434	2494014	0.44	2346	60	168325	None	Alta calidad
BPKAR240401.MAGScoT_cleanbin_000002	99.69	1.74	Neural Network (Specific Model)	11	0.821	11378	279.7314118629908	2444437	0.35	2394	383	65998	None	Alta calidad
BPKAR240404.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.821	82956	294.88490153172864	2459911	0.44	2285	50	168325	None	Alta calidad
BPKAR240405.MAGScoT_cleanbin_000001	100	0.12	Neural Network (Specific Model)	11	0.824	88313	296.26468048359243	2495976	0.44	2316	62	201520	None	Alta calidad
BPKAR240406.MAGScoT_cleanbin_000001	100	0.07	Neural Network (Specific Model)	11	0.818	86489	299.7705962676377	2411706	0.44	2197	47	196753	None	Alta calidad
BPKAR240407.MAGScoT_cleanbin_000001	100	0.21	Neural Network (Specific Model)	11	0.822	87949	291.0198511166253	2563775	0.44	2418	84	202676	None	Alta calidad
BPKAR250401.MAGScoT_cleanbin_000001	100	0.12	Neural Network (Specific Model)	11	0.821	98407	300.5592609283461	2432773	0.44	2219	51	256893	None	Alta calidad
BPKAR250401.MAGScoT_cleanbin_000002	99.52	2.13	Neural Network (Specific Model)	11	0.881	50705	356.6497263487099	1550840	0.48	1279	46	103746	None	Alta calidad
BPKAR250402.MAGScoT_cleanbin_000001	100	0.21	Neural Network (Specific Model)	11	0.824	83705	298.3243474540009	2533545	0.44	2337	49	299247	None	Alta calidad
BPKAR250402.MAGScoT_cleanbin_000002	98.25	0.32	Gradient Boost (General Model)	11	0.816	87253	300.70798569725866	1851125	0.34	1678	83	151558	None	Alta calidad
BPKAR250403.MAGScoT_cleanbin_000001	100	2.33	Neural Network (Specific Model)	11	0.831	29108	299.67376893939394	2281502	0.45	2112	185	55311	None	Alta calidad
BPKAR250403.MAGScoT_cleanbin_000002	99.88	0.06	Neural Network (Specific Model)	11	0.809	317084	346.2825305535586	1783460	0.47	1391	52	464875	None	Alta calidad
BPKAR250406.MAGScoT_cleanbin_000001	100	0.21	Neural Network (Specific Model)	11	0.824	82459	296.72914911541704	2560492	0.44	2374	65	250491	None	Alta calidad
BPVAL240222.MAGScoT_cleanbin_000001	99.99	1.6	Neural Network (Specific Model)	11	0.824	29709	287.1370192307692	2605078	0.44	2496	189	117411	None	Alta calidad
BPVAL240223.MAGScoT_cleanbin_000001	100	0.19	Neural Network (Specific Model)	11	0.82	76792	294.06858594411517	2538611	0.44	2362	65	213630	None	Alta calidad
BPVAL240223.MAGScoT_cleanbin_000002	98.73	0.31	Gradient Boost (General Model)	11	0.874	50872	305.8084142394822	1617040	0.34	1545	50	93962	None	Alta calidad
BPVAL240225.MAGScoT_cleanbin_000001	100	0.11	Neural Network (Specific Model)	11	0.819	86199	292.7284157585918	2554414	0.44	2386	90	206943	None	Alta calidad
BPVAL240225.MAGScoT_cleanbin_000002	99.55	1.91	Neural Network (Specific Model)	11	0.826	22060	318.2099322799097	2042982	0.47	1772	268	81760	None	Alta calidad
BPVAL240225.MAGScoT_cleanbin_000003	100	2.89	Gradient Boost (General Model)	11	0.638	3006	226.18269468479605	4289268	0.34	4045	1452	36645	Low confidence prediction - substantial (26%) disagreement between completeness prediction models	Alta calidad
BPVAL250101.MAGScoT_cleanbin_000001	92.95	0.97	Neural Network (Specific Model)	11	0.834	6826	278.35512195121953	2049941	0.45	2050	412	30149	None	Alta calidad
BPVAL250102.MAGScoT_cleanbin_000001	100	1.55	Neural Network (Specific Model)	11	0.823	135671	300.82241301400813	2422136	0.44	2213	50	247761	None	Alta calidad
BPVAL250102.MAGScoT_cleanbin_000002	100	0.01	Neural Network (Specific Model)	11	0.851	81831	305.94779632006845	2516873	0.36	2337	73	244573	None	Alta calidad
BPVAL250102.MAGScoT_cleanbin_000003	99.87	0.03	Neural Network (Specific Model)	11	0.878	48504	298.77014366021234	1632618	0.35	1601	75	131128	None	Alta calidad
BPVAL250103.MAGScoT_cleanbin_000001	100	0.09	Neural Network (Specific Model)	11	0.822	50448	299.18641750227897	2393485	0.44	2194	73	163327	None	Alta calidad
BPVAL250104.MAGScoT_cleanbin_000001	100	0.18	Neural Network (Specific Model)	11	0.82	102205	299.6878923766816	2443012	0.44	2230	46	312480	None	Alta calidad
BPVAL250104.MAGScoT_cleanbin_000002	96.34	1.5	Neural Network (Specific Model)	11	0.822	11981	316.1017402945114	1721544	0.47	1494	229	58671	None	Alta calidad
BPVAL250105.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.82	169442	303.93919550982224	2374562	0.44	2138	40	375258	None	Alta calidad
BPVAL250105.MAGScoT_cleanbin_000002	99.99	0.03	Neural Network (Specific Model)	11	0.644	15942	257.8479381443299	3723178	0.35	3104	771	96000	None	Alta calidad
BPVAL250105.MAGScoT_cleanbin_000003	99	0.06	Neural Network (Specific Model)	11	0.881	174526	362.4984520123839	1592597	0.47	1292	9	364853	None	Alta calidad
BPZEB240707M.MAGScoT_cleanbin_000001	100	0.09	Neural Network (Specific Model)	11	0.818	152061	302.7522482014389	2466236	0.44	2224	40	260344	None	Alta calidad
BPZEB240707M.MAGScoT_cleanbin_000002	99.99	0.17	Neural Network (Specific Model)	11	0.837	227408	317.39487675205413	2350939	0.35	2069	31	494809	None	Alta calidad
BPZEB240707M.MAGScoT_cleanbin_000003	98.56	0.13	Neural Network (Specific Model)	11	0.882	66332	354.1239414934565	1562102	0.48	1299	40	235004	None	Alta calidad
BPZEB240707M.MAGScoT_cleanbin_000004	99.89	3.02	Neural Network (Specific Model)	11	0.862	29916	286.9866004962779	2007155	0.34	2015	191	313103	None	Alta calidad
BPZEB240709M.MAGScoT_cleanbin_000001	100	2.02	Neural Network (Specific Model)	11	0.806	59049	296.9197475202885	2447210	0.44	2218	123	151545	None	Alta calidad
BPZEB240712M.MAGScoT_cleanbin_000001	100	0.16	Neural Network (Specific Model)	11	0.822	76006	299.2828237410072	2426865	0.44	2224	64	194421	None	Alta calidad
BPZEB240717M.MAGScoT_cleanbin_000001	100	0.06	Neural Network (Specific Model)	11	0.819	109075	298.39079946404644	2443469	0.44	2239	49	248952	None	Alta calidad
BPZEB250701.MAGScoT_cleanbin_000001	100	0.15	Neural Network (Specific Model)	11	0.823	96442	304.3044679871027	2405718	0.44	2171	42	222053	None	Alta calidad
BPZEB250701.MAGScoT_cleanbin_000002	97.44	0.21	Gradient Boost (General Model)	11	0.874	115615	310.0455420141116	1655747	0.34	1559	31	224264	None	Alta calidad
BPZEB250702.MAGScoT_cleanbin_000001	99.99	0.23	Neural Network (Specific Model)	11	0.84	182423	313.19646613378205	2655541	0.35	2377	50	354211	None	Alta calidad
BPZEB250702.MAGScoT_cleanbin_000002	94.18	0.62	Neural Network (Specific Model)	11	0.883	23839	291.08277541083385	1622659	0.35	1643	116	118702	None	Alta calidad
BPZEB250703.MAGScoT_cleanbin_000001	99.99	2.65	Neural Network (Specific Model)	11	0.825	14826	286.74492497793466	2360638	0.44	2266	319	47386	None	Alta calidad
BPZEB250703.MAGScoT_cleanbin_000002	92.54	3.01	Neural Network (Specific Model)	11	0.822	6351	267.0937272064187	2668224	0.35	2742	611	205533	None	Alta calidad
BPZEB250704.MAGScoT_cleanbin_000001	100	0.09	Neural Network (Specific Model)	11	0.82	111462	298.01974865350087	2427814	0.44	2228	52	197401	None	Alta calidad
BPZEB250704.MAGScoT_cleanbin_000002	95.37	1.25	Neural Network (Specific Model)	11	0.824	23323	333.9654457498272	1758400	0.47	1447	127	84118	None	Alta calidad
BPZEB250705.MAGScoT_cleanbin_000001	100	1.85	Neural Network (Specific Model)	11	0.815	82437	296.11310517529216	2607886	0.44	2396	127	255611	None	Alta calidad
BPATZ251103.MAGScoT_cleanbin_000001	100	0.11	Neural Network (Specific Model)	11	0.818	89872	298.43554952510175	2418006	0.44	2211	57	309349	None	Alta calidad
BPGOR241407M.MAGScoT_cleanbin_000001	99.99	0.08	Neural Network (Specific Model)	11	0.864	168684	318.25714285714287	2278062	0.35	2065	25	333926	None	Alta calidad
